"season","lg","lg_avg_age","lg_avg_wt","g","lg_avg_mp","lg_avg_fg","lg_avg_fga","lg_avg_threes_made","lg_avg_threes_att","lg_avg_ft","lg_avg_fta","lg_avg_oreb","lg_avg_dreb","lg_avg_reb","lg_avg_ast","lg_avg_stl","lg_avg_blk","lg_avg_tov","lg_avg_pf","lg_avg_pts","lg_avg_fg_pct","lg_avg_threes_pct","lg_avg_ft_pct","lg_avg_pace","lg_avg_efg_pct","lg_avg_tov_pct","lg_avg_oreb_pct","lg_avg_ft_fga","lg_avg_ortg","lg_avg_ts_pct"
1957,"NBA",26.2,201,288,NA,35.9,94.6,NA,NA,27.7,36.9,NA,NA,62.4,18.9,NA,NA,NA,25.1,99.6,0.38,NA,0.751,NA,0.38,NA,NA,0.293,NA,0.449
1956,"NBA",26.3,200,288,NA,35.3,91.4,NA,NA,28.4,38,NA,NA,60.1,24.3,NA,NA,NA,26.4,99,0.387,NA,0.745,NA,0.387,NA,NA,0.31,NA,0.458
1955,"NBA",26.7,197,288,NA,33.3,86.4,NA,NA,26.5,35.9,NA,NA,56.1,23.6,NA,NA,NA,24.8,93.1,0.385,NA,0.738,NA,0.385,NA,NA,0.307,NA,0.455
1954,"NBA",26.4,197,324,NA,28.1,75.4,NA,NA,23.4,33,NA,NA,50.9,20.3,NA,NA,NA,25.4,79.5,0.372,NA,0.709,NA,0.372,NA,NA,0.311,NA,0.442
1953,"NBA",26.4,196,351,NA,28.5,77.1,NA,NA,25.7,35.9,NA,NA,51.5,21,NA,NA,NA,28.8,82.7,0.37,NA,0.716,NA,0.37,NA,NA,0.333,NA,0.445
1952,"NBA",26.3,195,330,NA,29.6,80.8,NA,NA,24.4,33.2,NA,NA,54.5,21.9,NA,NA,NA,26.9,83.7,0.367,NA,0.735,NA,0.367,NA,NA,0.302,NA,0.438
1951,"NBA",NA,NA,354,NA,29.8,83.6,NA,NA,24.5,33.4,NA,NA,49.5,21,NA,NA,NA,27,84.1,0.357,NA,0.733,NA,0.357,NA,NA,0.293,NA,0.428
1950,"NBA",NA,NA,561,NA,28.2,83.1,NA,NA,23.6,33,NA,NA,NA,19.6,NA,NA,NA,27,80,0.34,NA,0.714,NA,0.34,NA,NA,0.284,NA,0.41
1949,"BAA",NA,NA,360,NA,29,88.7,NA,NA,22,31.3,NA,NA,NA,18.6,NA,NA,NA,25.6,80,0.327,NA,0.703,NA,0.327,NA,NA,0.248,NA,0.39
1948,"BAA",NA,NA,192,NA,27.2,96,NA,NA,18.2,27,NA,NA,NA,7,NA,NA,NA,22.2,72.7,0.284,NA,0.675,NA,0.284,NA,NA,0.19,NA,0.337
1947,"BAA",NA,NA,331,NA,25.9,92.9,NA,NA,15.9,24.8,NA,NA,NA,6.9,NA,NA,NA,20.8,67.8,0.279,NA,0.641,NA,0.279,NA,NA,0.171,NA,0.326
